judge,model,clean_mean_shift,cross_metric_marginal,gradual_drift,healed_transient,no_change,noise_equivalent,subtle_regression,tail_regression,variance_increase
statistical,-,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
ai:plot,granite-vision-vlm,1.0,1.0,1.0,0.0,0.2,0.0,0.8,1.0,1.0
ai:plot,minicpm-v-vlm,0.8,0.6,0.0,0.0,1.0,0.2,1.0,1.0,1.0
ai:plot,moondream-vlm,0.2,,1.0,0.2,0.6,0.4,0.8,0.8,1.0
ai:raw,deepseek-r1-llm,1.0,1.0,0.8,0.0,0.4,0.0,0.8,1.0,1.0
ai:raw,mistral-nemo-llm,1.0,0.8,1.0,0.0,1.0,0.4,1.0,1.0,1.0
ai:raw,olmo2-llm,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
ai:raw,phi4-llm,1.0,1.0,1.0,0.0,0.4,0.0,1.0,1.0,1.0
ai:raw,qwen-llm,1.0,0.8,1.0,0.0,0.4,0.0,1.0,1.0,1.0
ai:summary,deepseek-r1-llm,1.0,1.0,1.0,0.0,0.4,0.2,0.8,1.0,1.0
ai:summary,mistral-nemo-llm,1.0,0.0,1.0,0.0,1.0,0.4,1.0,1.0,1.0
ai:summary,olmo2-llm,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
ai:summary,phi4-llm,1.0,0.8,1.0,0.0,1.0,0.2,1.0,1.0,1.0
ai:summary,qwen-llm,1.0,0.2,1.0,0.0,1.0,0.4,1.0,1.0,1.0
hybrid:and,deepseek-r1-llm,1.0,0.0,0.0,1.0,1.0,1.0,0.8,0.0,0.0
hybrid:and,granite-vision-vlm,1.0,0.0,0.0,1.0,1.0,1.0,0.8,0.0,0.0
hybrid:and,minicpm-v-vlm,0.8,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
hybrid:and,mistral-nemo-llm,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
hybrid:and,moondream-vlm,0.2,,0.0,1.0,1.0,1.0,0.8,0.0,0.0
hybrid:and,olmo2-llm,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
hybrid:and,phi4-llm,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
hybrid:and,qwen-llm,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
hybrid:gated,deepseek-r1-llm,1.0,0.6,0.8,0.0,0.8,0.8,1.0,1.0,1.0
hybrid:gated,granite-vision-vlm,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
hybrid:gated,minicpm-v-vlm,1.0,0.0,0.0,0.0,1.0,0.8,1.0,1.0,1.0
hybrid:gated,mistral-nemo-llm,1.0,0.0,1.0,0.0,1.0,0.4,1.0,1.0,1.0
hybrid:gated,moondream-vlm,1.0,,0.8,1.0,1.0,1.0,1.0,0.6,0.0
hybrid:gated,olmo2-llm,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
hybrid:gated,phi4-llm,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
hybrid:gated,qwen-llm,1.0,0.2,1.0,0.0,1.0,0.4,1.0,1.0,1.0
hybrid:or,deepseek-r1-llm,1.0,0.6,0.8,0.0,0.8,0.8,1.0,1.0,1.0
hybrid:or,granite-vision-vlm,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
hybrid:or,minicpm-v-vlm,1.0,0.0,0.0,0.0,1.0,0.8,1.0,1.0,1.0
hybrid:or,mistral-nemo-llm,1.0,0.0,1.0,0.0,1.0,0.4,1.0,1.0,1.0
hybrid:or,moondream-vlm,1.0,,0.8,1.0,1.0,1.0,1.0,0.6,0.0
hybrid:or,olmo2-llm,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
hybrid:or,phi4-llm,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
hybrid:or,qwen-llm,1.0,0.2,1.0,0.0,1.0,0.4,1.0,1.0,1.0
