judge,model,n,accuracy,precision,recall,f1,fpr,fnr,TP,FP,TN,FN
statistical,-,45,0.556,1.0,0.333,0.5,0.0,0.667,10,0,15,20
ai:plot,granite-vision-vlm,45,0.667,0.674,0.967,0.795,0.933,0.033,29,14,1,1
ai:plot,minicpm-v-vlm,45,0.622,0.71,0.733,0.721,0.6,0.267,22,9,6,8
ai:plot,moondream-vlm,40,0.625,0.679,0.76,0.717,0.6,0.24,19,9,6,6
ai:raw,deepseek-r1-llm,45,0.667,0.683,0.933,0.789,0.867,0.067,28,13,2,2
ai:raw,mistral-nemo-llm,45,0.8,0.784,0.967,0.866,0.533,0.033,29,8,7,1
ai:raw,olmo2-llm,45,0.667,0.667,1.0,0.8,1.0,0.0,30,15,0,0
ai:raw,phi4-llm,45,0.711,0.698,1.0,0.822,0.867,0.0,30,13,2,0
ai:raw,qwen-llm,45,0.689,0.69,0.967,0.806,0.867,0.033,29,13,2,1
ai:summary,deepseek-r1-llm,45,0.711,0.707,0.967,0.817,0.8,0.033,29,12,3,1
ai:summary,mistral-nemo-llm,45,0.711,0.758,0.833,0.794,0.533,0.167,25,8,7,5
ai:summary,olmo2-llm,45,0.667,0.667,1.0,0.8,1.0,0.0,30,15,0,0
ai:summary,phi4-llm,45,0.778,0.763,0.967,0.853,0.6,0.033,29,9,6,1
ai:summary,qwen-llm,45,0.733,0.765,0.867,0.812,0.533,0.133,26,8,7,4
hybrid:and,deepseek-r1-llm,45,0.533,1.0,0.3,0.462,0.0,0.7,9,0,15,21
hybrid:and,granite-vision-vlm,45,0.533,1.0,0.3,0.462,0.0,0.7,9,0,15,21
hybrid:and,minicpm-v-vlm,45,0.533,1.0,0.3,0.462,0.0,0.7,9,0,15,21
hybrid:and,mistral-nemo-llm,45,0.556,1.0,0.333,0.5,0.0,0.667,10,0,15,20
hybrid:and,moondream-vlm,40,0.5,1.0,0.2,0.333,0.0,0.8,5,0,15,20
hybrid:and,olmo2-llm,45,0.556,1.0,0.333,0.5,0.0,0.667,10,0,15,20
hybrid:and,phi4-llm,45,0.556,1.0,0.333,0.5,0.0,0.667,10,0,15,20
hybrid:and,qwen-llm,45,0.556,1.0,0.333,0.5,0.0,0.667,10,0,15,20
hybrid:gated,deepseek-r1-llm,45,0.778,0.794,0.9,0.844,0.467,0.1,27,7,8,3
hybrid:gated,granite-vision-vlm,45,0.667,1.0,0.5,0.667,0.0,0.5,15,0,15,15
hybrid:gated,minicpm-v-vlm,45,0.644,0.769,0.667,0.714,0.4,0.333,20,6,9,10
hybrid:gated,mistral-nemo-llm,45,0.711,0.758,0.833,0.794,0.533,0.167,25,8,7,5
hybrid:gated,moondream-vlm,40,0.8,1.0,0.68,0.81,0.0,0.32,17,0,15,8
hybrid:gated,olmo2-llm,45,0.667,0.667,1.0,0.8,1.0,0.0,30,15,0,0
hybrid:gated,phi4-llm,45,0.778,0.833,0.833,0.833,0.333,0.167,25,5,10,5
hybrid:gated,qwen-llm,45,0.733,0.765,0.867,0.812,0.533,0.133,26,8,7,4
hybrid:or,deepseek-r1-llm,45,0.778,0.794,0.9,0.844,0.467,0.1,27,7,8,3
hybrid:or,granite-vision-vlm,45,0.667,1.0,0.5,0.667,0.0,0.5,15,0,15,15
hybrid:or,minicpm-v-vlm,45,0.644,0.769,0.667,0.714,0.4,0.333,20,6,9,10
hybrid:or,mistral-nemo-llm,45,0.711,0.758,0.833,0.794,0.533,0.167,25,8,7,5
hybrid:or,moondream-vlm,40,0.8,1.0,0.68,0.81,0.0,0.32,17,0,15,8
hybrid:or,olmo2-llm,45,0.667,0.667,1.0,0.8,1.0,0.0,30,15,0,0
hybrid:or,phi4-llm,45,0.778,0.833,0.833,0.833,0.333,0.167,25,5,10,5
hybrid:or,qwen-llm,45,0.733,0.765,0.867,0.812,0.533,0.133,26,8,7,4
