scenario,family,seed,truth,verdict,correct
no_change_000,no_change,20260621,PASS,PASS,1
no_change_001,no_change,20260621,PASS,PASS,1
no_change_002,no_change,20260621,PASS,FAIL,0
no_change_003,no_change,20260621,PASS,PASS,1
no_change_004,no_change,20260621,PASS,PASS,1
noise_equivalent_000,noise_equivalent,20260621,PASS,PASS,1
noise_equivalent_001,noise_equivalent,20260621,PASS,PASS,1
noise_equivalent_002,noise_equivalent,20260621,PASS,PASS,1
noise_equivalent_003,noise_equivalent,20260621,PASS,FAIL,0
noise_equivalent_004,noise_equivalent,20260621,PASS,PASS,1
healed_transient_000,healed_transient,20260621,PASS,PASS,1
healed_transient_001,healed_transient,20260621,PASS,PASS,1
healed_transient_002,healed_transient,20260621,PASS,PASS,1
healed_transient_003,healed_transient,20260621,PASS,PASS,1
healed_transient_004,healed_transient,20260621,PASS,PASS,1
clean_mean_shift_000,clean_mean_shift,20260621,FAIL,FAIL,1
clean_mean_shift_001,clean_mean_shift,20260621,FAIL,FAIL,1
clean_mean_shift_002,clean_mean_shift,20260621,FAIL,FAIL,1
clean_mean_shift_003,clean_mean_shift,20260621,FAIL,FAIL,1
clean_mean_shift_004,clean_mean_shift,20260621,FAIL,FAIL,1
variance_increase_000,variance_increase,20260621,FAIL,FAIL,1
variance_increase_001,variance_increase,20260621,FAIL,FAIL,1
variance_increase_002,variance_increase,20260621,FAIL,FAIL,1
variance_increase_003,variance_increase,20260621,FAIL,FAIL,1
variance_increase_004,variance_increase,20260621,FAIL,FAIL,1
tail_regression_000,tail_regression,20260621,FAIL,PASS,0
tail_regression_001,tail_regression,20260621,FAIL,PASS,0
tail_regression_002,tail_regression,20260621,FAIL,PASS,0
tail_regression_003,tail_regression,20260621,FAIL,PASS,0
tail_regression_004,tail_regression,20260621,FAIL,FAIL,1
gradual_drift_000,gradual_drift,20260621,FAIL,FAIL,1
gradual_drift_001,gradual_drift,20260621,FAIL,FAIL,1
gradual_drift_002,gradual_drift,20260621,FAIL,FAIL,1
gradual_drift_003,gradual_drift,20260621,FAIL,PASS,0
gradual_drift_004,gradual_drift,20260621,FAIL,PASS,0
cross_metric_marginal_000,cross_metric_marginal,20260621,FAIL,FAIL,1
cross_metric_marginal_001,cross_metric_marginal,20260621,FAIL,FAIL,1
cross_metric_marginal_002,cross_metric_marginal,20260621,FAIL,FAIL,1
cross_metric_marginal_003,cross_metric_marginal,20260621,FAIL,FAIL,1
cross_metric_marginal_004,cross_metric_marginal,20260621,FAIL,FAIL,1
subtle_regression_000,subtle_regression,20260621,FAIL,FAIL,1
subtle_regression_001,subtle_regression,20260621,FAIL,FAIL,1
subtle_regression_002,subtle_regression,20260621,FAIL,FAIL,1
subtle_regression_003,subtle_regression,20260621,FAIL,FAIL,1
subtle_regression_004,subtle_regression,20260621,FAIL,FAIL,1
no_change_000,no_change,1,PASS,FAIL,0
no_change_001,no_change,1,PASS,PASS,1
no_change_002,no_change,1,PASS,PASS,1
no_change_003,no_change,1,PASS,PASS,1
no_change_004,no_change,1,PASS,PASS,1
noise_equivalent_000,noise_equivalent,1,PASS,FAIL,0
noise_equivalent_001,noise_equivalent,1,PASS,PASS,1
noise_equivalent_002,noise_equivalent,1,PASS,PASS,1
noise_equivalent_003,noise_equivalent,1,PASS,PASS,1
noise_equivalent_004,noise_equivalent,1,PASS,PASS,1
healed_transient_000,healed_transient,1,PASS,PASS,1
healed_transient_001,healed_transient,1,PASS,PASS,1
healed_transient_002,healed_transient,1,PASS,PASS,1
healed_transient_003,healed_transient,1,PASS,PASS,1
healed_transient_004,healed_transient,1,PASS,PASS,1
clean_mean_shift_000,clean_mean_shift,1,FAIL,FAIL,1
clean_mean_shift_001,clean_mean_shift,1,FAIL,FAIL,1
clean_mean_shift_002,clean_mean_shift,1,FAIL,FAIL,1
clean_mean_shift_003,clean_mean_shift,1,FAIL,FAIL,1
clean_mean_shift_004,clean_mean_shift,1,FAIL,FAIL,1
variance_increase_000,variance_increase,1,FAIL,FAIL,1
variance_increase_001,variance_increase,1,FAIL,FAIL,1
variance_increase_002,variance_increase,1,FAIL,FAIL,1
variance_increase_003,variance_increase,1,FAIL,FAIL,1
variance_increase_004,variance_increase,1,FAIL,FAIL,1
tail_regression_000,tail_regression,1,FAIL,PASS,0
tail_regression_001,tail_regression,1,FAIL,PASS,0
tail_regression_002,tail_regression,1,FAIL,FAIL,1
tail_regression_003,tail_regression,1,FAIL,FAIL,1
tail_regression_004,tail_regression,1,FAIL,PASS,0
gradual_drift_000,gradual_drift,1,FAIL,FAIL,1
gradual_drift_001,gradual_drift,1,FAIL,FAIL,1
gradual_drift_002,gradual_drift,1,FAIL,FAIL,1
gradual_drift_003,gradual_drift,1,FAIL,FAIL,1
gradual_drift_004,gradual_drift,1,FAIL,FAIL,1
cross_metric_marginal_000,cross_metric_marginal,1,FAIL,FAIL,1
cross_metric_marginal_001,cross_metric_marginal,1,FAIL,FAIL,1
cross_metric_marginal_002,cross_metric_marginal,1,FAIL,FAIL,1
cross_metric_marginal_003,cross_metric_marginal,1,FAIL,FAIL,1
cross_metric_marginal_004,cross_metric_marginal,1,FAIL,FAIL,1
subtle_regression_000,subtle_regression,1,FAIL,FAIL,1
subtle_regression_001,subtle_regression,1,FAIL,FAIL,1
subtle_regression_002,subtle_regression,1,FAIL,FAIL,1
subtle_regression_003,subtle_regression,1,FAIL,FAIL,1
subtle_regression_004,subtle_regression,1,FAIL,FAIL,1
no_change_000,no_change,2,PASS,PASS,1
no_change_001,no_change,2,PASS,PASS,1
no_change_002,no_change,2,PASS,PASS,1
no_change_003,no_change,2,PASS,PASS,1
no_change_004,no_change,2,PASS,PASS,1
noise_equivalent_000,noise_equivalent,2,PASS,PASS,1
noise_equivalent_001,noise_equivalent,2,PASS,PASS,1
noise_equivalent_002,noise_equivalent,2,PASS,PASS,1
noise_equivalent_003,noise_equivalent,2,PASS,FAIL,0
noise_equivalent_004,noise_equivalent,2,PASS,PASS,1
healed_transient_000,healed_transient,2,PASS,PASS,1
healed_transient_001,healed_transient,2,PASS,PASS,1
healed_transient_002,healed_transient,2,PASS,PASS,1
healed_transient_003,healed_transient,2,PASS,PASS,1
healed_transient_004,healed_transient,2,PASS,PASS,1
clean_mean_shift_000,clean_mean_shift,2,FAIL,FAIL,1
clean_mean_shift_001,clean_mean_shift,2,FAIL,FAIL,1
clean_mean_shift_002,clean_mean_shift,2,FAIL,FAIL,1
clean_mean_shift_003,clean_mean_shift,2,FAIL,FAIL,1
clean_mean_shift_004,clean_mean_shift,2,FAIL,FAIL,1
variance_increase_000,variance_increase,2,FAIL,FAIL,1
variance_increase_001,variance_increase,2,FAIL,FAIL,1
variance_increase_002,variance_increase,2,FAIL,FAIL,1
variance_increase_003,variance_increase,2,FAIL,FAIL,1
variance_increase_004,variance_increase,2,FAIL,FAIL,1
tail_regression_000,tail_regression,2,FAIL,PASS,0
tail_regression_001,tail_regression,2,FAIL,PASS,0
tail_regression_002,tail_regression,2,FAIL,PASS,0
tail_regression_003,tail_regression,2,FAIL,FAIL,1
tail_regression_004,tail_regression,2,FAIL,PASS,0
gradual_drift_000,gradual_drift,2,FAIL,PASS,0
gradual_drift_001,gradual_drift,2,FAIL,FAIL,1
gradual_drift_002,gradual_drift,2,FAIL,PASS,0
gradual_drift_003,gradual_drift,2,FAIL,FAIL,1
gradual_drift_004,gradual_drift,2,FAIL,FAIL,1
cross_metric_marginal_000,cross_metric_marginal,2,FAIL,FAIL,1
cross_metric_marginal_001,cross_metric_marginal,2,FAIL,FAIL,1
cross_metric_marginal_002,cross_metric_marginal,2,FAIL,FAIL,1
cross_metric_marginal_003,cross_metric_marginal,2,FAIL,FAIL,1
cross_metric_marginal_004,cross_metric_marginal,2,FAIL,FAIL,1
subtle_regression_000,subtle_regression,2,FAIL,FAIL,1
subtle_regression_001,subtle_regression,2,FAIL,FAIL,1
subtle_regression_002,subtle_regression,2,FAIL,PASS,0
subtle_regression_003,subtle_regression,2,FAIL,FAIL,1
subtle_regression_004,subtle_regression,2,FAIL,FAIL,1
no_change_000,no_change,3,PASS,PASS,1
no_change_001,no_change,3,PASS,PASS,1
no_change_002,no_change,3,PASS,PASS,1
no_change_003,no_change,3,PASS,PASS,1
no_change_004,no_change,3,PASS,PASS,1
noise_equivalent_000,noise_equivalent,3,PASS,PASS,1
noise_equivalent_001,noise_equivalent,3,PASS,PASS,1
noise_equivalent_002,noise_equivalent,3,PASS,PASS,1
noise_equivalent_003,noise_equivalent,3,PASS,PASS,1
noise_equivalent_004,noise_equivalent,3,PASS,PASS,1
healed_transient_000,healed_transient,3,PASS,PASS,1
healed_transient_001,healed_transient,3,PASS,PASS,1
healed_transient_002,healed_transient,3,PASS,PASS,1
healed_transient_003,healed_transient,3,PASS,PASS,1
healed_transient_004,healed_transient,3,PASS,PASS,1
clean_mean_shift_000,clean_mean_shift,3,FAIL,FAIL,1
clean_mean_shift_001,clean_mean_shift,3,FAIL,FAIL,1
clean_mean_shift_002,clean_mean_shift,3,FAIL,FAIL,1
clean_mean_shift_003,clean_mean_shift,3,FAIL,FAIL,1
clean_mean_shift_004,clean_mean_shift,3,FAIL,FAIL,1
variance_increase_000,variance_increase,3,FAIL,FAIL,1
variance_increase_001,variance_increase,3,FAIL,FAIL,1
variance_increase_002,variance_increase,3,FAIL,FAIL,1
variance_increase_003,variance_increase,3,FAIL,FAIL,1
variance_increase_004,variance_increase,3,FAIL,FAIL,1
tail_regression_000,tail_regression,3,FAIL,FAIL,1
tail_regression_001,tail_regression,3,FAIL,PASS,0
tail_regression_002,tail_regression,3,FAIL,PASS,0
tail_regression_003,tail_regression,3,FAIL,PASS,0
tail_regression_004,tail_regression,3,FAIL,FAIL,1
gradual_drift_000,gradual_drift,3,FAIL,FAIL,1
gradual_drift_001,gradual_drift,3,FAIL,FAIL,1
gradual_drift_002,gradual_drift,3,FAIL,FAIL,1
gradual_drift_003,gradual_drift,3,FAIL,FAIL,1
gradual_drift_004,gradual_drift,3,FAIL,FAIL,1
cross_metric_marginal_000,cross_metric_marginal,3,FAIL,FAIL,1
cross_metric_marginal_001,cross_metric_marginal,3,FAIL,FAIL,1
cross_metric_marginal_002,cross_metric_marginal,3,FAIL,FAIL,1
cross_metric_marginal_003,cross_metric_marginal,3,FAIL,FAIL,1
cross_metric_marginal_004,cross_metric_marginal,3,FAIL,FAIL,1
subtle_regression_000,subtle_regression,3,FAIL,FAIL,1
subtle_regression_001,subtle_regression,3,FAIL,FAIL,1
subtle_regression_002,subtle_regression,3,FAIL,FAIL,1
subtle_regression_003,subtle_regression,3,FAIL,FAIL,1
subtle_regression_004,subtle_regression,3,FAIL,FAIL,1
no_change_000,no_change,4,PASS,PASS,1
no_change_001,no_change,4,PASS,PASS,1
no_change_002,no_change,4,PASS,PASS,1
no_change_003,no_change,4,PASS,PASS,1
no_change_004,no_change,4,PASS,PASS,1
noise_equivalent_000,noise_equivalent,4,PASS,PASS,1
noise_equivalent_001,noise_equivalent,4,PASS,PASS,1
noise_equivalent_002,noise_equivalent,4,PASS,PASS,1
noise_equivalent_003,noise_equivalent,4,PASS,PASS,1
noise_equivalent_004,noise_equivalent,4,PASS,PASS,1
healed_transient_000,healed_transient,4,PASS,PASS,1
healed_transient_001,healed_transient,4,PASS,PASS,1
healed_transient_002,healed_transient,4,PASS,PASS,1
healed_transient_003,healed_transient,4,PASS,PASS,1
healed_transient_004,healed_transient,4,PASS,PASS,1
clean_mean_shift_000,clean_mean_shift,4,FAIL,FAIL,1
clean_mean_shift_001,clean_mean_shift,4,FAIL,FAIL,1
clean_mean_shift_002,clean_mean_shift,4,FAIL,FAIL,1
clean_mean_shift_003,clean_mean_shift,4,FAIL,FAIL,1
clean_mean_shift_004,clean_mean_shift,4,FAIL,FAIL,1
variance_increase_000,variance_increase,4,FAIL,FAIL,1
variance_increase_001,variance_increase,4,FAIL,FAIL,1
variance_increase_002,variance_increase,4,FAIL,FAIL,1
variance_increase_003,variance_increase,4,FAIL,FAIL,1
variance_increase_004,variance_increase,4,FAIL,FAIL,1
tail_regression_000,tail_regression,4,FAIL,FAIL,1
tail_regression_001,tail_regression,4,FAIL,PASS,0
tail_regression_002,tail_regression,4,FAIL,PASS,0
tail_regression_003,tail_regression,4,FAIL,PASS,0
tail_regression_004,tail_regression,4,FAIL,PASS,0
gradual_drift_000,gradual_drift,4,FAIL,FAIL,1
gradual_drift_001,gradual_drift,4,FAIL,FAIL,1
gradual_drift_002,gradual_drift,4,FAIL,FAIL,1
gradual_drift_003,gradual_drift,4,FAIL,FAIL,1
gradual_drift_004,gradual_drift,4,FAIL,FAIL,1
cross_metric_marginal_000,cross_metric_marginal,4,FAIL,FAIL,1
cross_metric_marginal_001,cross_metric_marginal,4,FAIL,FAIL,1
cross_metric_marginal_002,cross_metric_marginal,4,FAIL,FAIL,1
cross_metric_marginal_003,cross_metric_marginal,4,FAIL,FAIL,1
cross_metric_marginal_004,cross_metric_marginal,4,FAIL,FAIL,1
subtle_regression_000,subtle_regression,4,FAIL,FAIL,1
subtle_regression_001,subtle_regression,4,FAIL,FAIL,1
subtle_regression_002,subtle_regression,4,FAIL,FAIL,1
subtle_regression_003,subtle_regression,4,FAIL,FAIL,1
subtle_regression_004,subtle_regression,4,FAIL,FAIL,1
