knob,perturbation,value,accuracy,recall_blindspot,specificity_pass
(tuned baseline),0%,-,0.85,0.8,0.85
variance_ratio_threshold,-50%,1.032,0.839,0.8,0.817
variance_ratio_threshold,-20%,1.65,0.85,0.8,0.85
variance_ratio_threshold,+20%,2.476,0.85,0.8,0.85
variance_ratio_threshold,+50%,3.095,0.85,0.8,0.85
variance_alpha,-50%,0.09,0.844,0.787,0.85
variance_alpha,-20%,0.145,0.85,0.8,0.85
variance_alpha,+20%,0.217,0.85,0.8,0.85
variance_alpha,+50%,0.271,0.85,0.8,0.85
tail_ratio_threshold,-50%,0.701,0.839,0.812,0.783
tail_ratio_threshold,-20%,1.122,0.85,0.8,0.85
tail_ratio_threshold,+20%,1.683,0.85,0.8,0.85
tail_ratio_threshold,+50%,2.103,0.85,0.8,0.85
tail_alpha,-50%,0.087,0.844,0.787,0.85
tail_alpha,-20%,0.139,0.85,0.8,0.85
tail_alpha,+20%,0.208,0.85,0.8,0.85
tail_alpha,+50%,0.26,0.856,0.812,0.85
trend_alpha,-50%,0.09,0.861,0.762,0.933
trend_alpha,-20%,0.145,0.85,0.787,0.867
trend_alpha,+20%,0.217,0.85,0.812,0.833
trend_alpha,+50%,0.271,0.844,0.812,0.817
cross_metric_alpha,-50%,0.025,0.85,0.8,0.85
cross_metric_alpha,-20%,0.04,0.85,0.8,0.85
cross_metric_alpha,+20%,0.06,0.85,0.8,0.85
cross_metric_alpha,+50%,0.075,0.85,0.8,0.85
