judge,model,family,n_seeds,n_pooled,accuracy_mean,ci_low,ci_high,boot_low,boot_high,identical_across_seeds
statistical,-,no_change,5,25,1.0,0.867,1.0,1.0,1.0,yes
statistical,-,noise_equivalent,5,25,1.0,0.867,1.0,1.0,1.0,yes
statistical,-,healed_transient,5,25,1.0,0.867,1.0,1.0,1.0,yes
statistical,-,clean_mean_shift,5,25,1.0,0.867,1.0,1.0,1.0,yes
statistical,-,variance_increase,5,25,0.0,0.0,0.133,0.0,0.0,yes
statistical,-,tail_regression,5,25,0.04,0.007,0.195,0.0,0.12,
statistical,-,gradual_drift,5,25,0.0,0.0,0.133,0.0,0.0,yes
statistical,-,cross_metric_marginal,5,25,0.0,0.0,0.133,0.0,0.0,yes
statistical,-,subtle_regression,5,25,0.96,0.805,0.993,0.88,1.0,
ai:plot,granite-vision-vlm,no_change,5,25,0.08,0.022,0.25,0.0,0.16,
ai:plot,granite-vision-vlm,noise_equivalent,5,25,0.0,0.0,0.133,0.0,0.0,yes
ai:plot,granite-vision-vlm,healed_transient,5,25,0.0,0.0,0.133,0.0,0.0,yes
ai:plot,granite-vision-vlm,clean_mean_shift,5,25,1.0,0.867,1.0,1.0,1.0,yes
ai:plot,granite-vision-vlm,variance_increase,5,25,1.0,0.867,1.0,1.0,1.0,yes
ai:plot,granite-vision-vlm,tail_regression,5,25,1.0,0.867,1.0,1.0,1.0,yes
ai:plot,granite-vision-vlm,gradual_drift,5,25,1.0,0.867,1.0,1.0,1.0,yes
ai:plot,granite-vision-vlm,cross_metric_marginal,5,25,0.88,0.7,0.958,0.8,0.96,
ai:plot,granite-vision-vlm,subtle_regression,5,25,0.96,0.805,0.993,0.88,1.0,
ai:plot,minicpm-v-vlm,no_change,5,25,0.96,0.805,0.993,0.88,1.0,
ai:plot,minicpm-v-vlm,noise_equivalent,5,25,0.4,0.234,0.593,0.24,0.56,
ai:plot,minicpm-v-vlm,healed_transient,5,25,0.0,0.0,0.133,0.0,0.0,yes
ai:plot,minicpm-v-vlm,clean_mean_shift,5,25,0.72,0.524,0.857,0.64,0.8,
ai:plot,minicpm-v-vlm,variance_increase,5,25,1.0,0.867,1.0,1.0,1.0,yes
ai:plot,minicpm-v-vlm,tail_regression,5,25,1.0,0.867,1.0,1.0,1.0,yes
ai:plot,minicpm-v-vlm,gradual_drift,5,25,0.0,0.0,0.133,0.0,0.0,yes
ai:plot,minicpm-v-vlm,cross_metric_marginal,5,25,0.64,0.445,0.798,0.4,0.88,
ai:plot,minicpm-v-vlm,subtle_regression,5,25,0.64,0.445,0.798,0.44,0.84,
ai:plot,moondream-vlm,no_change,5,25,0.4,0.234,0.593,0.28,0.52,
ai:plot,moondream-vlm,noise_equivalent,5,25,0.28,0.143,0.476,0.2,0.36,
ai:plot,moondream-vlm,healed_transient,5,25,0.4,0.234,0.593,0.28,0.52,
ai:plot,moondream-vlm,clean_mean_shift,5,25,0.28,0.143,0.476,0.2,0.36,
ai:plot,moondream-vlm,variance_increase,5,25,0.68,0.484,0.828,0.6,0.84,
ai:plot,moondream-vlm,tail_regression,5,25,0.44,0.267,0.629,0.24,0.64,
ai:plot,moondream-vlm,gradual_drift,5,25,1.0,0.867,1.0,1.0,1.0,yes
ai:plot,moondream-vlm,cross_metric_marginal,5,25,1.0,0.867,1.0,1.0,1.0,yes
ai:plot,moondream-vlm,subtle_regression,5,25,0.68,0.484,0.828,0.6,0.76,
ai:raw,deepseek-r1-llm,no_change,5,25,0.32,0.172,0.516,0.2,0.48,
ai:raw,deepseek-r1-llm,noise_equivalent,5,25,0.08,0.022,0.25,0.0,0.16,
ai:raw,deepseek-r1-llm,healed_transient,5,25,0.04,0.007,0.195,0.0,0.12,
ai:raw,deepseek-r1-llm,clean_mean_shift,5,25,1.0,0.867,1.0,1.0,1.0,yes
ai:raw,deepseek-r1-llm,variance_increase,5,25,1.0,0.867,1.0,1.0,1.0,yes
ai:raw,deepseek-r1-llm,tail_regression,5,25,1.0,0.867,1.0,1.0,1.0,yes
ai:raw,deepseek-r1-llm,gradual_drift,5,25,0.96,0.805,0.993,0.88,1.0,
ai:raw,deepseek-r1-llm,cross_metric_marginal,5,25,1.0,0.867,1.0,1.0,1.0,yes
ai:raw,deepseek-r1-llm,subtle_regression,5,25,0.92,0.75,0.978,0.84,1.0,
ai:raw,mistral-nemo-llm,no_change,5,25,0.92,0.75,0.978,0.76,1.0,
ai:raw,mistral-nemo-llm,noise_equivalent,5,25,0.4,0.234,0.593,0.24,0.6,
ai:raw,mistral-nemo-llm,healed_transient,5,25,0.0,0.0,0.133,0.0,0.0,yes
ai:raw,mistral-nemo-llm,clean_mean_shift,5,25,1.0,0.867,1.0,1.0,1.0,yes
ai:raw,mistral-nemo-llm,variance_increase,5,25,1.0,0.867,1.0,1.0,1.0,yes
ai:raw,mistral-nemo-llm,tail_regression,5,25,1.0,0.867,1.0,1.0,1.0,yes
ai:raw,mistral-nemo-llm,gradual_drift,5,25,1.0,0.867,1.0,1.0,1.0,yes
