model,guards,n,accuracy,precision,recall,f1,fpr,fnr,healed_transient_acc,noise_equivalent_acc,fail_families_recall
deepseek-r1-llm,off,180,0.756,0.779,0.883,0.828,0.5,0.117,0.05,0.6,0.883
deepseek-r1-llm,on,180,0.861,0.952,0.833,0.889,0.083,0.167,1.0,0.75,0.833
granite-vision-vlm,off,180,0.639,1.0,0.458,0.629,0.0,0.542,1.0,1.0,0.458
granite-vision-vlm,on,180,0.606,1.0,0.408,0.58,0.0,0.592,1.0,1.0,0.408
minicpm-v-vlm,off,180,0.65,0.788,0.65,0.712,0.35,0.35,0.0,0.95,0.65
minicpm-v-vlm,on,180,0.728,0.986,0.6,0.746,0.017,0.4,1.0,0.95,0.6
mistral-nemo-llm,off,180,0.744,0.798,0.825,0.811,0.417,0.175,0.0,0.75,0.825
mistral-nemo-llm,on,180,0.839,0.979,0.775,0.865,0.033,0.225,1.0,0.9,0.775
moondream-vlm,off,180,0.683,0.92,0.575,0.708,0.1,0.425,0.95,0.85,0.575
moondream-vlm,on,180,0.706,0.986,0.567,0.72,0.017,0.433,1.0,0.95,0.567
olmo2-llm,off,180,0.667,0.667,1.0,0.8,1.0,0.0,0.0,0.0,1.0
olmo2-llm,on,180,0.9,0.905,0.95,0.927,0.2,0.05,1.0,0.4,0.95
phi4-llm,off,180,0.75,0.826,0.792,0.809,0.333,0.208,0.0,1.0,0.792
phi4-llm,on,180,0.828,1.0,0.742,0.852,0.0,0.258,1.0,1.0,0.742
qwen-llm,off,180,0.7,0.736,0.858,0.792,0.617,0.142,0.0,0.45,0.858
qwen-llm,on,180,0.828,0.924,0.808,0.862,0.133,0.192,1.0,0.6,0.808
