model,guards,no_change,noise_equivalent,healed_transient,clean_mean_shift,variance_increase,tail_regression,gradual_drift,cross_metric_marginal,subtle_regression
deepseek-r1-llm,off,0.85,0.6,0.05,1.0,0.8,0.95,0.95,0.7,0.9
deepseek-r1-llm,on,1.0,0.75,1.0,1.0,0.8,0.65,0.95,0.7,0.9
granite-vision-vlm,off,1.0,1.0,1.0,1.0,0.0,0.8,0.05,0.0,0.9
granite-vision-vlm,on,1.0,1.0,1.0,1.0,0.0,0.5,0.05,0.0,0.9
minicpm-v-vlm,off,1.0,0.95,0.0,1.0,1.0,1.0,0.0,0.0,0.9
minicpm-v-vlm,on,1.0,0.95,1.0,1.0,1.0,0.7,0.0,0.0,0.9
mistral-nemo-llm,off,1.0,0.75,0.0,1.0,1.0,1.0,1.0,0.0,0.95
mistral-nemo-llm,on,1.0,0.9,1.0,1.0,1.0,0.7,1.0,0.0,0.95
moondream-vlm,off,0.9,0.85,0.95,1.0,0.0,0.2,0.35,1.0,0.9
moondream-vlm,on,1.0,0.95,1.0,1.0,0.0,0.15,0.35,1.0,0.9
olmo2-llm,off,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
olmo2-llm,on,1.0,0.4,1.0,1.0,1.0,0.7,1.0,1.0,1.0
phi4-llm,off,1.0,1.0,0.0,1.0,0.9,1.0,0.95,0.0,0.9
phi4-llm,on,1.0,1.0,1.0,1.0,0.9,0.7,0.95,0.0,0.9
qwen-llm,off,0.7,0.45,0.0,1.0,1.0,1.0,1.0,0.15,1.0
qwen-llm,on,1.0,0.6,1.0,1.0,1.0,0.7,1.0,0.15,1.0
