judge,model,family,metric,k,n,rate,wilson_low,wilson_high,boot_low,boot_high
statistical,-,,accuracy,98,180,0.544,0.472,0.616,0.472,0.617
statistical,-,,precision,38,38,1.0,0.908,1.0,1.0,1.0
statistical,-,,recall,38,120,0.317,0.24,0.404,0.235,0.4
statistical,-,,fpr,0,60,0.0,0.0,0.06,0.0,0.0
statistical,-,,fnr,82,120,0.683,0.596,0.76,0.6,0.765
statistical,-,,f1,,,0.481,,,0.381,0.571
ai:summary,deepseek-r1-llm,,accuracy,131,180,0.728,0.659,0.788,0.667,0.789
ai:summary,deepseek-r1-llm,,precision,117,163,0.718,0.644,0.781,0.648,0.786
ai:summary,deepseek-r1-llm,,recall,117,120,0.975,0.929,0.991,0.944,1.0
ai:summary,deepseek-r1-llm,,fpr,46,60,0.767,0.646,0.856,0.655,0.873
ai:summary,deepseek-r1-llm,,fnr,3,120,0.025,0.009,0.071,0.0,0.056
ai:summary,deepseek-r1-llm,,f1,,,0.827,,,0.777,0.872
ai:summary,mistral-nemo-llm,,accuracy,133,180,0.739,0.67,0.798,0.678,0.8
ai:summary,mistral-nemo-llm,,precision,98,123,0.797,0.717,0.858,0.725,0.866
ai:summary,mistral-nemo-llm,,recall,98,120,0.817,0.738,0.876,0.744,0.883
ai:summary,mistral-nemo-llm,,fpr,25,60,0.417,0.301,0.543,0.293,0.544
ai:summary,mistral-nemo-llm,,fnr,22,120,0.183,0.124,0.262,0.117,0.256
ai:summary,mistral-nemo-llm,,f1,,,0.807,,,0.749,0.857
ai:summary,olmo2-llm,,accuracy,120,180,0.667,0.595,0.731,0.6,0.733
ai:summary,olmo2-llm,,precision,120,180,0.667,0.595,0.731,0.6,0.733
ai:summary,olmo2-llm,,recall,120,120,1.0,0.969,1.0,1.0,1.0
ai:summary,olmo2-llm,,fpr,60,60,1.0,0.94,1.0,1.0,1.0
ai:summary,olmo2-llm,,fnr,0,120,0.0,0.0,0.031,0.0,0.0
ai:summary,olmo2-llm,,f1,,,0.8,,,0.75,0.846
ai:summary,phi4-llm,,accuracy,150,180,0.833,0.772,0.881,0.778,0.883
ai:summary,phi4-llm,,precision,117,144,0.812,0.741,0.868,0.748,0.874
ai:summary,phi4-llm,,recall,117,120,0.975,0.929,0.991,0.944,1.0
ai:summary,phi4-llm,,fpr,27,60,0.45,0.331,0.575,0.323,0.576
ai:summary,phi4-llm,,fnr,3,120,0.025,0.009,0.071,0.0,0.056
ai:summary,phi4-llm,,f1,,,0.886,,,0.845,0.924
ai:summary,qwen-llm,,accuracy,126,180,0.7,0.629,0.762,0.633,0.767
ai:summary,qwen-llm,,precision,103,140,0.736,0.657,0.802,0.662,0.808
ai:summary,qwen-llm,,recall,103,120,0.858,0.785,0.91,0.792,0.918
ai:summary,qwen-llm,,fpr,37,60,0.617,0.49,0.729,0.491,0.739
ai:summary,qwen-llm,,fnr,17,120,0.142,0.09,0.215,0.082,0.208
