seed,model,judge_a,judge_b,discordant,a_wrong_b_right,a_right_b_wrong,chi2_cc,p_value
20260621,qwen-llm,statistical,ai:summary,24,16,8,2.0417,0.15159
20260621,qwen-llm,statistical,hybrid:gated,24,16,8,2.0417,0.15159
20260621,phi4-llm,statistical,ai:summary,28,19,9,2.8929,0.08716
20260621,phi4-llm,statistical,hybrid:gated,20,15,5,4.05,0.04139
20260621,olmo2-llm,statistical,ai:summary,35,20,15,0.4571,0.49956
20260621,olmo2-llm,statistical,hybrid:gated,35,20,15,0.4571,0.49956
20260621,mistral-nemo-llm,statistical,ai:summary,23,15,8,1.5652,0.21004
20260621,mistral-nemo-llm,statistical,hybrid:gated,23,15,8,1.5652,0.21004
20260621,deepseek-r1-llm,statistical,ai:summary,33,20,13,1.0909,0.29621
20260621,deepseek-r1-llm,statistical,hybrid:gated,24,17,7,3.375,0.06391
20260621,moondream-vlm,statistical,ai:plot,33,19,14,0.4848,0.48685
20260621,moondream-vlm,statistical,hybrid:gated,12,12,0,10.0833,0.00049
20260621,granite-vision-vlm,statistical,ai:plot,35,20,15,0.4571,0.49956
20260621,granite-vision-vlm,statistical,hybrid:gated,5,5,0,3.2,0.0625
20260621,minicpm-v-vlm,statistical,ai:plot,23,13,10,0.1739,0.67764
20260621,minicpm-v-vlm,statistical,hybrid:gated,16,10,6,0.5625,0.4545
1,qwen-llm,statistical,ai:summary,23,15,8,1.5652,0.21004
1,qwen-llm,statistical,hybrid:gated,23,15,8,1.5652,0.21004
1,phi4-llm,statistical,ai:summary,24,19,5,7.0417,0.00661
1,phi4-llm,statistical,hybrid:gated,18,13,5,2.7222,0.09625
1,olmo2-llm,statistical,ai:summary,34,19,15,0.2647,0.60759
1,olmo2-llm,statistical,hybrid:gated,34,19,15,0.2647,0.60759
1,mistral-nemo-llm,statistical,ai:summary,19,14,5,3.3684,0.06357
1,mistral-nemo-llm,statistical,hybrid:gated,19,14,5,3.3684,0.06357
1,deepseek-r1-llm,statistical,ai:summary,30,19,11,1.6333,0.20049
1,deepseek-r1-llm,statistical,hybrid:gated,23,18,5,6.2609,0.01062
1,moondream-vlm,statistical,ai:plot,30,15,15,0.0333,1.0
1,moondream-vlm,statistical,hybrid:gated,11,10,1,5.8182,0.01172
1,granite-vision-vlm,statistical,ai:plot,33,18,15,0.1212,0.72833
1,granite-vision-vlm,statistical,hybrid:gated,3,3,0,1.3333,0.25
1,minicpm-v-vlm,statistical,ai:plot,22,13,9,0.4091,0.52347
1,minicpm-v-vlm,statistical,hybrid:gated,14,9,5,0.6429,0.42395
2,qwen-llm,statistical,ai:summary,27,16,11,0.5926,0.44207
2,qwen-llm,statistical,hybrid:gated,27,16,11,0.5926,0.44207
2,phi4-llm,statistical,ai:summary,25,19,6,5.76,0.01463
2,phi4-llm,statistical,hybrid:gated,18,13,5,2.7222,0.09625
2,olmo2-llm,statistical,ai:summary,36,21,15,0.6944,0.40503
2,olmo2-llm,statistical,hybrid:gated,36,21,15,0.6944,0.40503
2,mistral-nemo-llm,statistical,ai:summary,21,16,5,4.7619,0.0266
