comparison_id,model,judge_a,judge_b,n_pairs,discordant,a_wrong_b_right,a_right_b_wrong,chi2_cc,p_raw,p_holm,q_bh
deepseek-r1-llm:statistical_vs_ai:summary,deepseek-r1-llm,statistical,ai:summary,225,158,98,60,8.6646,0.00312,0.04992,0.00777
deepseek-r1-llm:statistical_vs_hybrid_gated,deepseek-r1-llm,statistical,hybrid:gated,225,126,91,35,24.0079,0.0,0.0,0.0
deepseek-r1-llm:ai:summary_vs_hybrid_gated,deepseek-r1-llm,ai:summary,hybrid:gated,225,32,25,7,9.0312,0.0021,0.0357,0.00583
granite-vision-vlm:statistical_vs_ai:plot,granite-vision-vlm,statistical,ai:plot,225,171,97,74,2.8304,0.0922,0.8298,0.13353
granite-vision-vlm:statistical_vs_hybrid_gated,granite-vision-vlm,statistical,hybrid:gated,225,17,17,0,15.0588,2e-05,0.00044,0.0001
granite-vision-vlm:ai:plot_vs_hybrid_gated,granite-vision-vlm,ai:plot,hybrid:gated,225,154,74,80,0.1623,0.68715,1.0,0.81804
minicpm-v-vlm:statistical_vs_ai:plot,minicpm-v-vlm,statistical,ai:plot,225,121,65,56,0.5289,0.46721,1.0,0.58401
minicpm-v-vlm:statistical_vs_hybrid_gated,minicpm-v-vlm,statistical,hybrid:gated,225,77,49,28,5.1948,0.02203,0.26436,0.03934
minicpm-v-vlm:ai:plot_vs_hybrid_gated,minicpm-v-vlm,ai:plot,hybrid:gated,225,44,28,16,2.75,0.09614,0.8298,0.13353
mistral-nemo-llm:statistical_vs_ai:summary,mistral-nemo-llm,statistical,ai:summary,225,108,75,33,15.5648,7e-05,0.0014,0.00025
mistral-nemo-llm:statistical_vs_hybrid_gated,mistral-nemo-llm,statistical,hybrid:gated,225,108,75,33,15.5648,7e-05,0.0014,0.00025
mistral-nemo-llm:ai:summary_vs_hybrid_gated,mistral-nemo-llm,ai:summary,hybrid:gated,225,0,0,0,0.0,1.0,1.0,1.0
moondream-vlm:statistical_vs_ai:plot,moondream-vlm,statistical,ai:plot,225,152,78,74,0.0592,0.80785,1.0,0.91801
moondream-vlm:statistical_vs_hybrid_gated,moondream-vlm,statistical,hybrid:gated,225,58,49,9,26.2241,0.0,0.0,0.0
moondream-vlm:ai:plot_vs_hybrid_gated,moondream-vlm,ai:plot,hybrid:gated,225,94,65,29,13.0319,0.00026,0.00468,0.00081
olmo2-llm:statistical_vs_ai:summary,olmo2-llm,statistical,ai:summary,225,175,100,75,3.2914,0.06934,0.76274,0.10834
olmo2-llm:statistical_vs_hybrid_gated,olmo2-llm,statistical,hybrid:gated,225,175,100,75,3.2914,0.06934,0.76274,0.10834
olmo2-llm:ai:summary_vs_hybrid_gated,olmo2-llm,ai:summary,hybrid:gated,225,0,0,0,0.0,1.0,1.0,1.0
phi4-llm:statistical_vs_ai:summary,phi4-llm,statistical,ai:summary,225,132,95,37,24.6136,0.0,0.0,0.0
phi4-llm:statistical_vs_hybrid_gated,phi4-llm,statistical,hybrid:gated,225,91,66,25,17.5824,2e-05,0.00044,0.0001
phi4-llm:ai:summary_vs_hybrid_gated,phi4-llm,ai:summary,hybrid:gated,225,41,12,29,6.2439,0.01151,0.14963,0.02213
qwen-llm:statistical_vs_ai:summary,qwen-llm,statistical,ai:summary,225,123,78,45,8.3252,0.00373,0.05595,0.00777
qwen-llm:statistical_vs_hybrid_gated,qwen-llm,statistical,hybrid:gated,225,123,78,45,8.3252,0.00373,0.05595,0.00777
qwen-llm:ai:summary_vs_hybrid_gated,qwen-llm,ai:summary,hybrid:gated,225,0,0,0,0.0,1.0,1.0,1.0
ensemble_tuned_vs_best_llm,-,ensemble:tuned,ai:summary,225,68,27,41,2.4853,0.11425,0.8298,0.15033
