judge,model,n_seeds,n_pooled,accuracy_mean,accuracy_ci_low,accuracy_ci_high,precision_mean,precision_ci_low,precision_ci_high,recall_mean,recall_ci_low,recall_ci_high,f1_mean,f1_ci_low,f1_ci_high,fpr_mean,fpr_ci_low,fpr_ci_high,fnr_mean,fnr_ci_low,fnr_ci_high,accuracy_boot_low,accuracy_boot_high,precision_boot_low,precision_boot_high,recall_boot_low,recall_boot_high,f1_boot_low,f1_boot_high,fpr_boot_low,fpr_boot_high,fnr_boot_low,fnr_boot_high,identical_across_seeds
statistical,-,5,225,0.556,0.49,0.619,1.0,0.929,1.0,0.333,0.263,0.412,0.5,,,0.0,0.0,0.049,0.667,0.588,0.737,0.542,0.569,1.0,1.0,0.313,0.353,0.477,0.522,0.0,0.0,0.647,0.687,precision;fpr
ai:plot,granite-vision-vlm,5,225,0.658,0.594,0.717,0.667,0.602,0.726,0.973,0.933,0.99,0.791,,,0.973,0.908,0.993,0.027,0.01,0.067,0.644,0.676,0.659,0.676,0.967,0.987,0.784,0.802,0.947,1.0,0.013,0.033,
ai:plot,minicpm-v-vlm,5,225,0.596,0.53,0.658,0.709,0.63,0.778,0.667,0.588,0.737,0.687,,,0.547,0.434,0.654,0.333,0.263,0.412,0.529,0.649,0.661,0.746,0.593,0.727,0.625,0.732,0.48,0.613,0.273,0.407,
ai:plot,moondream-vlm,5,225,0.573,0.508,0.636,0.68,0.602,0.749,0.68,0.602,0.749,0.68,,,0.64,0.527,0.739,0.32,0.251,0.398,0.538,0.622,0.66,0.703,0.633,0.747,0.646,0.724,0.613,0.667,0.253,0.367,
ai:raw,deepseek-r1-llm,5,225,0.702,0.639,0.758,0.697,0.632,0.755,0.98,0.943,0.993,0.814,,,0.853,0.756,0.916,0.02,0.007,0.057,0.684,0.72,0.689,0.706,0.953,1.0,0.801,0.826,0.827,0.867,0.0,0.047,
ai:raw,mistral-nemo-llm,5,225,0.791,0.733,0.839,0.775,0.71,0.829,0.967,0.924,0.986,0.861,,,0.56,0.447,0.667,0.033,0.014,0.076,0.751,0.831,0.746,0.808,0.933,0.993,0.837,0.885,0.467,0.653,0.007,0.067,
ai:raw,olmo2-llm,5,225,0.667,0.603,0.725,0.667,0.603,0.725,1.0,0.975,1.0,0.8,,,1.0,0.951,1.0,0.0,0.0,0.025,0.667,0.667,0.667,0.667,1.0,1.0,0.8,0.8,1.0,1.0,0.0,0.0,accuracy;precision;recall;f1;fpr;fnr
ai:raw,phi4-llm,5,225,0.702,0.639,0.758,0.691,0.627,0.749,1.0,0.975,1.0,0.817,,,0.893,0.803,0.945,0.0,0.0,0.025,0.689,0.72,0.682,0.704,1.0,1.0,0.811,0.827,0.84,0.933,0.0,0.0,recall;fnr
ai:raw,qwen-llm,5,225,0.689,0.626,0.746,0.696,0.63,0.755,0.947,0.898,0.973,0.802,,,0.827,0.726,0.896,0.053,0.027,0.102,0.676,0.702,0.687,0.707,0.933,0.96,0.795,0.808,0.773,0.867,0.04,0.067,
ai:summary,deepseek-r1-llm,5,225,0.724,0.663,0.779,0.72,0.654,0.778,0.96,0.915,0.982,0.823,,,0.747,0.638,0.831,0.04,0.018,0.085,0.702,0.747,0.704,0.74,0.94,0.98,0.81,0.838,0.667,0.8,0.02,0.06,
ai:summary,mistral-nemo-llm,5,225,0.742,0.681,0.795,0.791,0.721,0.847,0.833,0.766,0.884,0.812,,,0.44,0.333,0.553,0.167,0.116,0.234,0.716,0.769,0.762,0.823,0.833,0.833,0.796,0.828,0.36,0.52,0.167,0.167,recall;fnr
ai:summary,olmo2-llm,5,225,0.667,0.603,0.725,0.667,0.603,0.725,1.0,0.975,1.0,0.8,,,1.0,0.951,1.0,0.0,0.0,0.025,0.667,0.667,0.667,0.667,1.0,1.0,0.8,0.8,1.0,1.0,0.0,0.0,accuracy;precision;recall;f1;fpr;fnr
ai:summary,phi4-llm,5,225,0.813,0.757,0.859,0.797,0.732,0.849,0.967,0.924,0.986,0.873,,,0.493,0.383,0.604,0.033,0.014,0.076,0.782,0.853,0.767,0.832,0.947,0.987,0.855,0.899,0.4,0.587,0.013,0.053,
