source,judge,model,curve,threshold,x,y
statistical,statistical,-,roc,101.0,0.0,0.0
statistical,statistical,-,pr,101.0,0.0,1.0
statistical,statistical,-,roc,100.0,0.0,0.3167
statistical,statistical,-,pr,100.0,0.3167,1.0
statistical,statistical,-,roc,0.0,1.0,1.0
statistical,statistical,-,pr,0.0,1.0,0.6667
statistical,statistical,-,roc,-1.0,1.0,1.0
statistical,statistical,-,pr,-1.0,1.0,0.6667
ai:summary/phi4-llm (best local),ai:summary,phi4-llm,roc,81.0,0.0,0.0
ai:summary/phi4-llm (best local),ai:summary,phi4-llm,pr,81.0,0.0,1.0
ai:summary/phi4-llm (best local),ai:summary,phi4-llm,roc,80.0,0.3333,0.525
ai:summary/phi4-llm (best local),ai:summary,phi4-llm,pr,80.0,0.525,0.759
ai:summary/phi4-llm (best local),ai:summary,phi4-llm,roc,70.0,0.3333,0.65
ai:summary/phi4-llm (best local),ai:summary,phi4-llm,pr,70.0,0.65,0.7959
ai:summary/phi4-llm (best local),ai:summary,phi4-llm,roc,35.0,0.35,0.8667
ai:summary/phi4-llm (best local),ai:summary,phi4-llm,pr,35.0,0.8667,0.832
ai:summary/phi4-llm (best local),ai:summary,phi4-llm,roc,30.0,0.45,0.975
ai:summary/phi4-llm (best local),ai:summary,phi4-llm,pr,30.0,0.975,0.8125
ai:summary/phi4-llm (best local),ai:summary,phi4-llm,roc,25.0,0.6667,1.0
ai:summary/phi4-llm (best local),ai:summary,phi4-llm,pr,25.0,1.0,0.75
ai:summary/phi4-llm (best local),ai:summary,phi4-llm,roc,15.0,0.85,1.0
ai:summary/phi4-llm (best local),ai:summary,phi4-llm,pr,15.0,1.0,0.7018
ai:summary/phi4-llm (best local),ai:summary,phi4-llm,roc,5.0,1.0,1.0
ai:summary/phi4-llm (best local),ai:summary,phi4-llm,pr,5.0,1.0,0.6667
ai:summary/phi4-llm (best local),ai:summary,phi4-llm,roc,4.0,1.0,1.0
ai:summary/phi4-llm (best local),ai:summary,phi4-llm,pr,4.0,1.0,0.6667
hybrid:gated/phi4-llm,hybrid:gated,phi4-llm,roc,101.0,0.0,0.0
hybrid:gated/phi4-llm,hybrid:gated,phi4-llm,pr,101.0,0.0,1.0
hybrid:gated/phi4-llm,hybrid:gated,phi4-llm,roc,100.0,0.0,0.3167
hybrid:gated/phi4-llm,hybrid:gated,phi4-llm,pr,100.0,0.3167,1.0
hybrid:gated/phi4-llm,hybrid:gated,phi4-llm,roc,80.0,0.3333,0.6667
hybrid:gated/phi4-llm,hybrid:gated,phi4-llm,pr,80.0,0.6667,0.8
hybrid:gated/phi4-llm,hybrid:gated,phi4-llm,roc,70.0,0.3333,0.7917
