judge,model,no_change,noise_equivalent,healed_transient,clean_mean_shift,variance_increase,tail_regression,gradual_drift,cross_metric_marginal,subtle_regression
statistical,-,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9
ai:summary,deepseek-r1-llm,0.3,0.4,0.0,0.95,1.0,0.95,1.0,0.95,1.0
ai:summary,mistral-nemo-llm,1.0,0.75,0.0,1.0,1.0,1.0,1.0,0.0,0.9
ai:summary,olmo2-llm,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ai:summary,phi4-llm,0.95,0.7,0.0,1.0,1.0,1.0,1.0,0.85,1.0
ai:summary,qwen-llm,0.7,0.45,0.0,1.0,1.0,1.0,1.0,0.15,1.0
ai:raw,deepseek-r1-llm,0.35,0.25,0.0,1.0,1.0,0.95,1.0,1.0,1.0
ai:raw,mistral-nemo-llm,0.95,0.25,0.0,1.0,1.0,1.0,1.0,0.8,0.85
ai:raw,olmo2-llm,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ai:raw,phi4-llm,0.25,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ai:raw,qwen-llm,0.45,0.0,0.0,1.0,1.0,1.0,1.0,0.7,0.9
ai:plot,granite-vision-vlm,0.1,0.0,0.0,1.0,1.0,1.0,1.0,0.85,1.0
ai:plot,minicpm-v-vlm,0.9,0.6,0.0,0.75,1.0,1.0,0.0,0.65,0.5
ai:plot,moondream-vlm,0.5,0.4,0.45,0.5,0.55,0.6,0.9,1.0,0.45
hybrid:gated,deepseek-r1-llm,0.85,0.6,0.05,1.0,0.8,0.95,0.95,0.7,0.9
hybrid:gated,granite-vision-vlm,1.0,1.0,1.0,1.0,0.0,0.8,0.05,0.0,0.9
hybrid:gated,minicpm-v-vlm,1.0,0.95,0.0,1.0,1.0,1.0,0.0,0.0,0.9
hybrid:gated,mistral-nemo-llm,1.0,0.75,0.0,1.0,1.0,1.0,1.0,0.0,0.95
hybrid:gated,moondream-vlm,0.9,0.85,0.95,1.0,0.0,0.2,0.35,1.0,0.9
hybrid:gated,olmo2-llm,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
hybrid:gated,phi4-llm,1.0,1.0,0.0,1.0,0.9,1.0,0.95,0.0,0.9
hybrid:gated,qwen-llm,0.7,0.45,0.0,1.0,1.0,1.0,1.0,0.15,1.0
hybrid:or,deepseek-r1-llm,0.85,0.6,0.05,1.0,0.8,0.95,0.95,0.7,0.9
hybrid:or,granite-vision-vlm,1.0,1.0,1.0,1.0,0.0,0.8,0.05,0.0,0.9
hybrid:or,minicpm-v-vlm,1.0,0.95,0.0,1.0,1.0,1.0,0.0,0.0,0.9
hybrid:or,mistral-nemo-llm,1.0,0.75,0.0,1.0,1.0,1.0,1.0,0.0,0.95
hybrid:or,moondream-vlm,0.9,0.85,0.95,1.0,0.0,0.2,0.35,1.0,0.9
hybrid:or,olmo2-llm,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
hybrid:or,phi4-llm,1.0,1.0,0.0,1.0,0.9,1.0,0.95,0.0,0.9
hybrid:or,qwen-llm,0.7,0.45,0.0,1.0,1.0,1.0,1.0,0.15,1.0
hybrid:and,deepseek-r1-llm,1.0,1.0,1.0,0.95,0.0,0.0,0.0,0.0,0.9
hybrid:and,granite-vision-vlm,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9
hybrid:and,minicpm-v-vlm,1.0,1.0,1.0,0.75,0.0,0.0,0.0,0.0,0.5
hybrid:and,mistral-nemo-llm,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.85
hybrid:and,moondream-vlm,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.4
hybrid:and,olmo2-llm,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9
hybrid:and,phi4-llm,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9
hybrid:and,qwen-llm,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9
