judge_a,model,judge_b,kappa
statistical,-,ground_truth,0.236
ai:summary,deepseek-r1-llm,ground_truth,0.254
ai:summary,mistral-nemo-llm,ground_truth,0.405
ai:summary,olmo2-llm,ground_truth,0.0
ai:summary,phi4-llm,ground_truth,0.583
ai:summary,qwen-llm,ground_truth,0.264
ai:raw,deepseek-r1-llm,ground_truth,0.238
ai:raw,mistral-nemo-llm,ground_truth,0.389
ai:raw,olmo2-llm,ground_truth,0.0
ai:raw,phi4-llm,ground_truth,0.108
ai:raw,qwen-llm,ground_truth,0.102
ai:plot,granite-vision-vlm,ground_truth,0.011
ai:plot,minicpm-v-vlm,ground_truth,0.143
ai:plot,moondream-vlm,ground_truth,0.113
hybrid:gated,deepseek-r1-llm,ground_truth,0.411
hybrid:gated,granite-vision-vlm,ground_truth,0.361
hybrid:gated,minicpm-v-vlm,ground_truth,0.276
hybrid:gated,mistral-nemo-llm,ground_truth,0.415
hybrid:gated,moondream-vlm,ground_truth,0.4
hybrid:gated,olmo2-llm,ground_truth,0.0
hybrid:gated,phi4-llm,ground_truth,0.449
hybrid:gated,qwen-llm,ground_truth,0.264
hybrid:or,deepseek-r1-llm,ground_truth,0.411
hybrid:or,granite-vision-vlm,ground_truth,0.361
hybrid:or,minicpm-v-vlm,ground_truth,0.276
hybrid:or,mistral-nemo-llm,ground_truth,0.415
hybrid:or,moondream-vlm,ground_truth,0.4
hybrid:or,olmo2-llm,ground_truth,0.0
hybrid:or,phi4-llm,ground_truth,0.449
hybrid:or,qwen-llm,ground_truth,0.264
hybrid:and,deepseek-r1-llm,ground_truth,0.229
hybrid:and,granite-vision-vlm,ground_truth,0.236
hybrid:and,minicpm-v-vlm,ground_truth,0.149
hybrid:and,mistral-nemo-llm,ground_truth,0.229
hybrid:and,moondream-vlm,ground_truth,0.105
hybrid:and,olmo2-llm,ground_truth,0.236
hybrid:and,phi4-llm,ground_truth,0.236
hybrid:and,qwen-llm,ground_truth,0.236
statistical,qwen-llm,ai:summary,0.142
statistical,qwen-llm,hybrid:gated,0.142
ai:summary,qwen-llm,hybrid:gated,1.0
statistical,phi4-llm,ai:summary,0.125
statistical,phi4-llm,hybrid:gated,0.263
ai:summary,phi4-llm,hybrid:gated,0.613
statistical,olmo2-llm,ai:summary,0.0
statistical,olmo2-llm,hybrid:gated,0.0
ai:summary,olmo2-llm,hybrid:gated,0.0
statistical,mistral-nemo-llm,ai:summary,0.202
statistical,mistral-nemo-llm,hybrid:gated,0.216
ai:summary,mistral-nemo-llm,hybrid:gated,0.987
statistical,deepseek-r1-llm,ai:summary,0.039
statistical,deepseek-r1-llm,hybrid:gated,0.159
ai:summary,deepseek-r1-llm,hybrid:gated,0.45
statistical,moondream-vlm,ai:plot,-0.113
statistical,moondream-vlm,hybrid:gated,0.545
ai:plot,moondream-vlm,hybrid:gated,0.169
statistical,granite-vision-vlm,ai:plot,0.015
statistical,granite-vision-vlm,hybrid:gated,0.756
ai:plot,granite-vision-vlm,hybrid:gated,0.025
statistical,minicpm-v-vlm,ai:plot,0.044
statistical,minicpm-v-vlm,hybrid:gated,0.359
ai:plot,minicpm-v-vlm,hybrid:gated,0.603
