model,judge_a,judge_b,discordant,n01_a_wrong_b_right,n10_a_right_b_wrong,chi2_cc,p_value
qwen-llm,statistical,ai:summary,24,16,8,2.0417,0.15159
qwen-llm,statistical,hybrid:gated,24,16,8,2.0417,0.15159
qwen-llm,ai:summary,hybrid:gated,0,0,0,0.0,1.0
phi4-llm,statistical,ai:summary,28,19,9,2.8929,0.08716
phi4-llm,statistical,hybrid:gated,20,15,5,4.05,0.04139
phi4-llm,ai:summary,hybrid:gated,8,4,4,0.125,1.0
olmo2-llm,statistical,ai:summary,35,20,15,0.4571,0.49956
olmo2-llm,statistical,hybrid:gated,35,20,15,0.4571,0.49956
olmo2-llm,ai:summary,hybrid:gated,0,0,0,0.0,1.0
mistral-nemo-llm,statistical,ai:summary,23,15,8,1.5652,0.21004
mistral-nemo-llm,statistical,hybrid:gated,23,15,8,1.5652,0.21004
mistral-nemo-llm,ai:summary,hybrid:gated,0,0,0,0.0,1.0
deepseek-r1-llm,statistical,ai:summary,33,20,13,1.0909,0.29621
deepseek-r1-llm,statistical,hybrid:gated,24,17,7,3.375,0.06391
deepseek-r1-llm,ai:summary,hybrid:gated,9,6,3,0.4444,0.50781
moondream-vlm,statistical,ai:plot,33,19,14,0.4848,0.48685
moondream-vlm,statistical,hybrid:gated,12,12,0,10.0833,0.00049
moondream-vlm,ai:plot,hybrid:gated,21,14,7,1.7143,0.18925
granite-vision-vlm,statistical,ai:plot,35,20,15,0.4571,0.49956
granite-vision-vlm,statistical,hybrid:gated,5,5,0,3.2,0.0625
granite-vision-vlm,ai:plot,hybrid:gated,30,15,15,0.0333,1.0
minicpm-v-vlm,statistical,ai:plot,23,13,10,0.1739,0.67764
minicpm-v-vlm,statistical,hybrid:gated,16,10,6,0.5625,0.4545
minicpm-v-vlm,ai:plot,hybrid:gated,7,4,3,0.0,1.0
